site_code,collection_date,family,lowest_taxon,d100_com,d100_fam,d100_spe
AR,2017-09-16,Leuciscidae,C. lutrensis,69,24,24
AR,2017-09-16,Poeciliidae,G. affinis,69,4,4
AR,2017-09-16,Cichlidae,H. cyanoguttatum,69,11,11
AR,2017-09-16,Ictaluridae,I. punctatus,69,2,2
AR,2017-09-16,Centrarchidae,L. auritus,69,28,4
AR,2017-09-16,Centrarchidae,L. cyanellus,69,28,2
AR,2017-09-16,Centrarchidae,L. macrochirus,69,28,22
AR,2017-11-01,Leuciscidae,C. lutrensis,204,87,87
AR,2017-11-01,Poeciliidae,G. affinis,204,15,15
AR,2017-11-01,Cichlidae,H. cyanoguttatum,204,30,30
AR,2017-11-01,Centrarchidae,L. auritus,204,70,2
AR,2017-11-01,Centrarchidae,L. cyanellus,204,70,2
AR,2017-11-01,Centrarchidae,L. macrochirus,204,70,21
AR,2017-11-01,Centrarchidae,L. megalotis,204,70,43
AR,2017-11-01,Lepisosteidae,L. oculatus,204,2,2
AR,2017-11-01,Centrarchidae,M. salmoides,204,70,2
AR,2017-12-07,Leuciscidae,C. lutrensis,105,49,49
AR,2017-12-07,Poeciliidae,G. affinis,105,14,14
AR,2017-12-07,Cichlidae,H. cyanoguttatum,105,5,5
AR,2017-12-07,Centrarchidae,L. cyanellus,105,37,1
AR,2017-12-07,Centrarchidae,L. macrochirus,105,37,11
AR,2017-12-07,Centrarchidae,L. megalotis,105,37,25
AR,2018-02-03,Leuciscidae,C. lutrensis,127,66,66
AR,2018-02-03,Poeciliidae,G. affinis,127,24,24
AR,2018-02-03,Cichlidae,H. cyanoguttatum,127,6,6
AR,2018-02-03,Centrarchidae,L. macrochirus,127,31,3
AR,2018-02-03,Centrarchidae,L. megalotis,127,31,28
AR,2018-04-07,Leuciscidae,C. lutrensis,72,60,60
AR,2018-04-07,Poeciliidae,G. affinis,72,4,4
AR,2018-04-07,Cichlidae,H. cyanoguttatum,72,2,2
AR,2018-04-07,Centrarchidae,L. macrochirus,72,6,6
AR,2018-05-12,Leuciscidae,C. lutrensis,134,48,48
AR,2018-05-12,Cichlidae,H. cyanoguttatum,134,3,3
AR,2018-05-12,Centrarchidae,L. cyanellus,134,83,2
AR,2018-05-12,Centrarchidae,L. macrochirus,134,83,23
AR,2018-05-12,Centrarchidae,L. megalotis,134,83,56
AR,2018-05-12,Centrarchidae,M. salmoides,134,83,2
AR,2018-06-08,Ictaluridae,A. melas,71,4,2
AR,2018-06-08,Ictaluridae,A. natalis,71,4,2
AR,2018-06-08,Leuciscidae,C. lutrensis,71,26,26
AR,2018-06-08,Poeciliidae,G. affinis,71,9,9
AR,2018-06-08,Cichlidae,H. cyanoguttatum,71,2,2
AR,2018-06-08,Centrarchidae,L. gulosus,71,28,2
AR,2018-06-08,Centrarchidae,L. macrochirus,71,28,11
AR,2018-06-08,Centrarchidae,L. megalotis,71,28,15
AR,2018-06-08,Lepisosteidae,L. oculatus,71,2,2
AR,2018-07-01,Leuciscidae,C. lutrensis,9,2,1
AR,2018-07-01,Poeciliidae,G. affinis,9,4,4
AR,2018-07-01,Ictaluridae,I. punctatus,9,1,1
AR,2018-07-01,Centrarchidae,L. megalotis,9,2,2
AR,2018-07-01,Leuciscidae,N. texanus,9,2,1
AR,2018-08-01,Centrarchidae,L. cyanellus,4,4,1
AR,2018-08-01,Centrarchidae,L. gulosus,4,4,1
AR,2018-08-01,Centrarchidae,L. megalotis,4,4,1
AR,2018-08-01,Centrarchidae,M. salmoides,4,4,1
AR,2018-09-11,Ictaluridae,A. natalis,107,8,2
AR,2018-09-11,Leuciscidae,C. lutrensis,107,12,12
AR,2018-09-11,Poeciliidae,G. affinis,107,4,4
AR,2018-09-11,Cichlidae,H. cyanoguttatum,107,12,12
AR,2018-09-11,Ictaluridae,I. punctatus,107,8,6
AR,2018-09-11,Centrarchidae,L. cyanellus,107,68,2
AR,2018-09-11,Centrarchidae,L. gulosus,107,68,2
AR,2018-09-11,Centrarchidae,L. macrochirus,107,68,32
AR,2018-09-11,Centrarchidae,L. megalotis,107,68,30
AR,2018-09-11,Lepisosteidae,L. oculatus,107,3,3
AR,2018-09-11,Centrarchidae,M. salmoides,107,68,2
AR,2020-01-17,Leuciscidae,C. lutrensis,56,8,8
AR,2020-01-17,Cichlidae,H. cyanoguttatum,56,5,5
AR,2020-01-17,Centrarchidae,L. auritus,56,41,8
AR,2020-01-17,Centrarchidae,L. cyanellus,56,41,6
AR,2020-01-17,Centrarchidae,L. macrochirus,56,41,13
AR,2020-01-17,Centrarchidae,L. megalotis,56,41,14
AR,2020-01-17,Ictaluridae,N. gyrinus,56,2,2
